"Computer","Drive","Total Available Space (GByte)","Total Use Space (GByte)","Total Free Space (GByte)"
sql6anmasp,C:,79.4462852478027,45.4138526916504,34.0324325561523
sql6anmasp,D:,79.8729858398438,9.7117919921875,70.1611938476563
sql6anmasp,E:,79.8729858398438,1.3116455078125,78.5613403320313
sql6anmasp,F:,39.8729858398438,1.43475341796875,38.438232421875
sql6anmasp,G:,29.8729858398438,0.12200927734375,29.7509765625
sql6anmasp,H:,14.9667358398438,0.0604248046875,14.9063110351563
sql6anmasp,I:,79.8729858398438,0.098876953125,79.7741088867188
sql6anmasp,J:,79.8729858398438,0.098876953125,79.7741088867188
vsr3anmasp,C:,278.763668060303,28.2616119384766,250.502056121826
vsr3anmasp,D:,3725.7998008728,3690.19202804565,35.6077728271484
vsr3anmasp,E:,0,0,0
fls0aeiasp,C:,89.3984336853027,11.5834579467773,77.8149757385254
fls0aeiasp,D:,4.98339462280273,0.638877868652344,4.34451675415039
fls0aeiasp,E:,499.983394622803,1.76868057250977,498.214714050293
fls3aeiasp,C:,89.3984336853027,14.2373390197754,75.1610946655273
fls3aeiasp,D:,14.9980430603027,0.661735534667969,14.3363075256348
fls3aeiasp,E:,499.983394622803,2.26040267944336,497.722991943359
sccm1anmasp,C:,79.4462852478027,60.4387702941895,19.0075149536133
sccm1anmasp,D:,499.873043060303,148.70138168335,351.171661376953
sccm1anmasp,E:,499.873043060303,0.930137634277344,498.942905426025
sql3anmasp,C:,79.4462852478027,22.3605766296387,57.0857086181641
sql3anmasp,D:,79.8729858398438,0.7760009765625,79.0969848632813
sql3anmasp,E:,79.8729858398438,0.694091796875,79.1788940429688
sql3anmasp,F:,39.8729858398438,1.1221923828125,38.7507934570313
sql3anmasp,G:,29.8729858398438,0.1063232421875,29.7666625976563
sql3anmasp,H:,14.9667358398438,0.06036376953125,14.9063720703125
sql3anmasp,I:,79.8729858398438,0.3839111328125,79.4890747070313
vsr4anmasp,C:,278.763668060303,27.5046615600586,251.259006500244
vsr4anmasp,D:,3725.7998008728,2858.61982345581,867.179977416992
vsr4anmasp,F:,0,0,0
ac0anmasp,C:,89.3984336853027,14.990306854248,74.4081268310547
accl1anmasp,A:,0,0,0
accl1anmasp,C:,79.6562461853027,31.6245880126953,48.0316581726074
sql9anmasp,C:,79.4462852478027,30.1687965393066,49.2774887084961
sql9anmasp,D:,79.8729858398438,0.703857421875,79.1691284179688
sql9anmasp,E:,79.8729858398438,1.9248046875,77.9481811523438
sql9anmasp,F:,39.8729858398438,0.87896728515625,38.9940185546875
sql9anmasp,G:,29.8729858398438,0.1063232421875,29.7666625976563
sql9anmasp,H:,14.9667358398438,0.06036376953125,14.9063720703125
sql9anmasp,I:,79.8729858398438,2.4539794921875,77.4190063476563
vsr5anmasp,C:,97.0556602478027,18.1477813720703,78.9078788757324
vsr5anmasp,D:,833.823238372803,606.839370727539,226.983867645264
vsr0bntasp,C:,278.763668060303,25.9266204833984,252.837047576904
vsr0bntasp,D:,3725.7998008728,3157.74303436279,568.05676651001
vsr0bntasp,F:,0,0,0
blncc1bntasp,C:,129.398433685303,19.3969497680664,110.001483917236
dc2bntasp,C:,129.398433685303,19.3969497680664,110.001483917236
fls0bntasp,C:,79.4462852478027,13.9760360717773,65.4702491760254
fls0bntasp,D:,4.96679306030273,0.782966613769531,4.1838264465332
fls0bntasp,E:,199.873043060303,2.16098785400391,197.712055206299
fls0ecrasp,C:,79.4462852478027,11.7847671508789,67.6615180969238
fls0ecrasp,D:,4.96679306030273,0.782966613769531,4.1838264465332
fls0ecrasp,E:,199.873043060303,0.879478454589844,198.993564605713
fls3bntasp,C:,89.3984336853027,16.2566184997559,73.1418151855469
fls3bntasp,D:,14.9833946228027,0.661472320556641,14.3219223022461
fls3bntasp,E:,499.983394622803,8.88220977783203,491.101184844971
fls3ecrasp,C:,89.3984336853027,12.4207534790039,76.9776802062988
fls3ecrasp,D:,14.9833946228027,0.670543670654297,14.3128509521484
fls3ecrasp,E:,499.983394622803,19.7562370300293,480.227157592773
prntsrv0bntasp,C:,89.3984336853027,11.8784523010254,77.5199813842773
trcbntasp,C:,126.483394622803,25.7367744445801,100.746620178223
trcbntasp,D:,1999.8730430603,649.343086242676,1350.52995681763
